carrera,institucion,acreditacion,periodo_acreditacion_carrera,Enlace,Documento_Acreditador
Diseño Gráfico,IP SANTO TOMAS,Sí,2016 - 2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,IP SANTO TOMAS,Sí,2016 - 2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,IP SANTO TOMAS,Sí,2016 - 2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,IP SANTO TOMAS,Sí,2016 - 2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,IP SANTO TOMAS,Sí,2016 - 2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,IP SANTO TOMAS,Sí,2016 - 2020,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA214-Dise%C3%B1o-Gr%C3%A1fico-IPST.pdf,Acuerdo
Diseño Gráfico,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,Sí,2013 - 2018,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N24%20Diseno%20Grafico%20PUCV.pdf,Acuerdo
Diseño Industrial,PONTIFICIA UNIVERSIDAD CATOLICA DE VALPARAISO,Sí,2013 - 2018,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N25%20Diseno%20Industrial%20PUCV.pdf,Acuerdo
Diseño,UNIVERSIDAD ADOLFO IBAÑEZ,No,-,-,-
Diseño de Juegos Digitales,UNIVERSIDAD ANDRES BELLO,No,-,-,-
Diseño de Vestuario y Textil,UNIVERSIDAD ANDRES BELLO,No,-,-,-
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,No,-,-,-
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,No,-,-,-
Diseño Gráfico,UNIVERSIDAD CATOLICA DE TEMUCO,Sí,2016 - 2020,http://www.acreditadoradechile.cl/wp-content/uploads/2017/03/Acuerdo-N%C2%BA464.pdf,Acuerdo
Diseño de Imagen Especialidad Moda,UNIVERSIDAD DE ARTES CIENCIAS Y COMUNICACION,No,-,-,-
Diseño Teatral,UNIVERSIDAD DE CHILE,No,-,-,-
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,Sí,2016 - 2020,http://www.acreditaccion.cl/dictamenes/Resolucion_de_Acreditacion_N583_Diseno_ULS.pdf,Acuerdo
Diseño Gráfico,UNIVERSIDAD DE LAS AMERICAS,No,-,-,-
Diseño Multimedia,UNIVERSIDAD DE TARAPACA,Sí,2015 - 2020 ,http://www.acreditaccion.cl/dictamenes/Dictamen_N492_Diseno_Multimedia_UTA.pdf,Acuerdo
Diseño,UNIVERSIDAD DE VIÑA DEL MAR,Sí,2015 - 2018,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N40%20Diseno%20Grafico%20U%20Vina%20del%20Mar.pdf,Acuerdo
Diseño,UNIVERSIDAD DEL DESARROLLO,Sí,2012 - 2018 ,http://www.acreditadoradechile.cl/wp-content/uploads/2013/06/Reposici%C3%B3n-N%C2%BA39-Dise%C3%B1o-UDD.pdf,Acuerdo
Diseño,UNIVERSIDAD DEL DESARROLLO,Sí,2012 - 2018 ,http://www.acreditadoradechile.cl/wp-content/uploads/2013/06/Reposici%C3%B3n-N%C2%BA39-Dise%C3%B1o-UDD.pdf,Acuerdo
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACIFICO,Sí,2013 - 2018,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA220-Dise%C3%B1o-de-Vestuario-U-Pac%C3%ADfico.pdf,Acuerdo
Diseño de Interiores,UNIVERSIDAD DEL PACIFICO,Sí,2014 - 2018,https://www.cnachile.cl/res/preg/75.%20RR%20Dise%C3%B1o%20de%20Interiores%20UPACIFICO.pdf,Acuerdo
Diseño Gráfico,UNIVERSIDAD DEL PACIFICO,Sí,2013 - 2018,https://www.cnachile.cl/res/preg/RES-PREG-01361-01.pdf,Acuerdo
Diseño,UNIVERSIDAD DIEGO PORTALES,Sí,2016 - 2022 ,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N13%20Diseno%20UDP.pdf,Acuerdo
Diseño,UNIVERSIDAD FINIS TERRAE,No,-,-,-
"Diseño Crossmedia en Gráfica, Web y Video Digital",UNIVERSIDAD GABRIELA MISTRAL,No,-,-,-
Diseño Mención Industrial Gráfico/Ambientes,UNIVERSIDAD MAYOR,No,-,-,-
Diseño Industrial,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Sí,2016 - 2022,http://www.acreditaccion.cl/dictamenes/Resolucion_de_Acreditacion_N584_Diseno_Industrial_UTEM.pdf,Acuerdo
Diseño en Comunicación Visual,UNIVERSIDAD TECNOLOGICA METROPOLITANA,Sí,2016 - 2021,http://www.acreditadoradechile.cl/wp-content/uploads/2016/03/Acuerdo-N%C2%BA421.pdf,Acuerdo
